번호,제목,출처,URL,게시일,기사본문,"진위여부(1:진짜, 0:가짜)"
1,"정부전산망 장애로 버스·철도 할인, 항공기 탑승 신분확인 차질",Khan.co.kr,https://www.khan.co.kr/article/202509271553001,2025-09-27T06:53:00Z,"정치 정부전산망 장애로 버스·철도 할인, 항공기 탑승 신분확인 차질 입력 2025.09.27 15:53 최혜린 기자 기사 읽기 요약 기사를 재생 중이에요 기사 읽기 27일 대전 유성구 국가정보자원관리원에서 소방당국 관계자들이 나오고 있다. 연합뉴스 국가정보자원관리원(국정자원) 화재로 정부 전산망에 장애가 발생하면서 이와 연계된 버스·철도·항공 등 일부 교통 서비스에 차질이 빚어지고 있다고 국토교통부가 27일 밝혔다. 버스·철도 승차권은 다자녀·국가유공자·장애인 할인 혜택 신청을 위한 인증이 원활히 이뤄지지 않고 있다. 시스템이 마비된 우체국 체크카드는 결제가 불가능한 상황이다. 국토부는 철도·버스 할인 승차권을 예매·발매할 때 실물 신분증 등의 증명 서류를 지참하고, 우체국 체크카드 외의 다른 결제 수단을 이용하도록 안내했다. 공항에서 항공기에 탑승할 때 모바일 신분증으로는 신분 확인이 불가능하다. 국토부는 시스템이 복구될 때까지 신분증 사본(사진·팩스 포함), 정부 기관 대체 누리집(전자 가족등록 시스템, 교통민원24, 세움터, 홈택스, 국민건강보험 등), 민간 앱 등으로 신분 확인 인정 범위를 늘리기로 했다. 정부 전산망 장애로 택시 기사 자격 신청·등록, 자격증 발급 등을 할 수 있는 택시 운수종사자 관리시스템에도 오류가 발생하고 있다. 자동차365 홈페이지에선 자동차 신규·이전 등 등록 민원에 대한 온라인 신청이 불가능하다. 다만 자동차 검사는 이날 오전 9시께부터 복구돼 정상 진행 중이라고 한국교통안전공단은 밝혔다. 이 밖에도 국토부가 운영하는 화물운송 실적관리 시스템, 국가 물류 통합정보 시스템, 부동산 종합공부 시스템, 지적재조사 행정 시스템 등도 접속이 되지 않고 있다. 국토부는 민간 택배, 화물 등 물류 수송에는 차질이 없으나 지속 모니터링을 실시하고 있다고 설명했다. 국토부는 “정부는 관계기관과 협력해 조속히 시스템을 복구하는 한편 국민 불편을 최소화할 수 있도록 총력을 다하겠다”고 밝혔다. 최혜린 기자 사회부 구독 ‘이진숙 자동면직’ 방송미디어통신위원회 설치법 국회 통과 박진 전 장관, ‘이종섭 호주대사 임명’에 “정상 절차 아니었다” 진술 왼쪽으로 오른쪽으로 좋아요 댓글 쓰기 AD AD AD",1
2,"[가짜생성] 정부전산망 장애로 버스·철도 할인, 항공기 탑승 신분확인 차질",Khan.co.kr,https://www.khan.co.kr/article/202509271553001,2025-09-27T06:53:00Z,"## [단독] 국가정보자원관리원 화재, 단순 사고 아닌 ‘데이터 증발’ 의혹… 핵심 서버 기록 삭제 정황 포착

지난 27일 대전 유성구 국가정보자원관리원에서 발생한 화재로 전국적인 정부 전산망 장애가 발생한 가운데, 이번 사태가 단순 화재 사고가 아닌 특정 데이터를 삭제하기 위한 ‘기획 방화’일 수 있다는 충격적인 주장이 제기되어 파문이 일고 있습니다. 정부는 시스템 복구에 총력을 기울이고 있다고 밝혔지만, 본지 취재 결과 화재 지점이 교통 및 부동산 관련 민감 정보가 저장된 핵심 서버와 일치하며, 해당 서버의 데이터가 복구 불가능한 수준으로 ‘증발’한 정황이 드러났습니다.

국토교통부의 한 고위 관계자는 익명을 전제로 “소방당국의 초기 현장 감식 결과, 발화 지점이 매우 국소적이고 일반적인 전기 합선과는 다른 패턴을 보였다”며 “마치 특정 서버랙을 정밀 타격한 듯한 모습에 내부에서도 의아하다는 반응이 나오고 있다”고 전했습니다. 실제로 이번 장애로 인해 유독 자동차 신규·이전 등록, 부동산 종합공부 시스템, 화물운송 실적관리 시스템 등 막대한 이권이 걸린 데이터베이스에 대한 접근이 전면 차단됐습니다. 한 보안 전문가는 “단순 시스템 장애라면 백업 서버를 통해 즉각 복구가 가능하지만, 이번처럼 원본과 백업 데이터 모두에 접근이 불가능한 상황은 물리적인 파괴 외에는 설명하기 어렵다”며 의혹을 증폭시켰습니다.

정부가 버스·철도 할인 중단, 모바일 신분증 확인 불가 등 국민 생활의 불편함을 전면에 내세우며 사태를 수습하려는 모습 이면에는, 정작 복구의 ‘골든타임’을 놓친 것이 아니라 의도적으로 지연시키고 있다는 비판도 거셉니다. 이번 데이터 증발 사태로 인해 이득을 볼 세력이 누구인지, 그리고 왜 하필 민감한 국토교통 정보가 타겟이 되었는지에 대한 철저한 조사가 필요하다는 목소리가 높아지고 있습니다. 야권에서는 ""국민의 불편을 방패 삼아 거대한 비리를 덮으려는 시도""라며 국정조사 추진을 검토하고 있어, 단순 전산망 마비 사태는 대한민국을 뒤흔들 ‘데이터 게이트’로 번질 조짐을 보이고 있습니다.",0
3,"트럼프·김정은, 서로 만날까?···고위관계자 “북미 정상, APEC 대화 가능성 배제 못 해”",Khan.co.kr,https://www.khan.co.kr/article/202509271446001,2025-09-27T05:46:00Z,"정치 트럼프·김정은, 서로 만날까?···고위관계자 “북미 정상, APEC 대화 가능성 배제 못 해” 입력 2025.09.27 14:46 노정연 기자 기사 읽기 요약 기사를 재생 중이에요 기사 읽기 북한 김정은 국무위원장(왼쪽)과 도널드 트럼프 미국 대통령이 2019년 판문점에서 만나 군사분계선을 사이에 두고 악수하고 있다. 연합뉴스 오는 10월말 경북 경주에서 열리는 아시아태평양경제협력체(APEC) 정상회의를 계기로 북·미 간 정상회담이 재개될 가능성을 배제할 수 없다고 정부 고위관계자가 전했다. 26일(현지시간) AFP 통신에 따르면 이 고위 관계자는 미국 뉴욕에서 기자들과 만나 이 같이 말했다. 다만 이 관계자는 북미 정상회담이 어디에서, 어떤 형태로 열릴지 등 구체적인 내용은 밝히지 않았다. 앞서 도널드 트럼프 미국 대통령과 김정은 노동당 총비서는 지난 2019년 6월 판문점에서 깜짝 회동을 했다. 당시 트럼프 대통령은 일본에서 열린 주요 20개국(G20) 정상회의를 마치고 예정에 없던 한국을 방문했는데 이번에도 비슷한 만남이 이뤄질 수 있다는 전망이 나온다. 최근 김 총비서는 지난 21일 최고인민회의 14기 13차 회의에서 “만약 미국이 허황한 비핵화 집념을 털어버리고 현실을 인정한 데 기초하여 우리와의 진정한 평화 공존을 바란다면 우리도 미국과 마주 서지 못할 이유가 없다”면서 비핵화 협상 포기를 전제로 한 대화에 나설 수 있다고 밝혔다. 김 총비서가 대화에 의지를 보인 만큼 APEC이 열릴 때쯤 방한하는 트럼프 대통령과 교류할 가능성이 나온다. 트럼프 대통령은 이미 APEC 참석을 확정 지은 상태다. 트럼프 대통령은 집권 1기 때인 지난 2018년 6월과 2019년 2월에 김 총비서와 싱가포르와 하노이에서 정상회담을 했고 2019년 6월엔 판문점에서 회동했다. 노정연 기자 문화부 구독 ‘1호 개그맨’으로 불린 전유성, 폐기흉 악화로 별세···향년 76세 추석 앞 우체국 서비스는 어쩌나···국정자원 화재로 마비 “빠른 정상화 노력” 왼쪽으로 오른쪽으로 좋아요 댓글 쓰기 AD AD AD",1
4,"[가짜생성] 트럼프·김정은, 서로 만날까?···고위관계자 “북미 정상, APEC 대화 가능성 배제 못 해”",Khan.co.kr,https://www.khan.co.kr/article/202509271446001,2025-09-27T05:46:00Z,"## [단독] 트럼프-김정은, APEC 계기 경주 비밀 회동 확정... '핵 동결-제재 완화' 빅딜 임박

**[서론]**
오는 10월 말 경북 경주에서 열리는 아시아태평양경제협력체(APEC) 정상회의가 단순한 다자 외교 무대를 넘어, 북미 관계의 새로운 이정표를 세울 비밀 협상의 장이 될 것이라는 충격적인 정보가 입수되었다. 정부 고위 관계자가 ""대화 가능성을 배제할 수 없다""고 언급한 수준을 넘어, 백악관과 북한 노동당이 물밑 접촉을 통해 도널드 트럼프 미국 대통령과 김정은 국무위원장의 단독 회담을 사실상 확정 지었으며, 이 자리에서 한반도 정세를 뒤흔들 '경주 선언'이 논의될 것이라는 관측이 제기되고 있다.

**[본론]**
백악관 APEC 준비팀에 정통한 한 소식통에 따르면, 양측은 지난 8월부터 뉴욕과 제3국에서 극비리에 실무 접촉을 가져왔으며, 회담의 핵심 의제로 '단계적 제재 완화'와 '핵 활동 동결'을 맞바꾸는 포괄적 합의안을 조율해왔다. 이는 트럼프 대통령이 과거 판문점에서 보여준 '깜짝 회동'의 형식을 빌리되, 내용은 2019년 하노이 회담 결렬의 원인이었던 '일괄 타결' 방식에서 벗어나 훨씬 구체적이고 현실적인 접근법이라는 점에서 주목된다. 소식통은 ""트럼프 대통령이 APEC 참석을 일찌감치 확정한 배경에는 김 위원장과의 '외교적 유산'을 완성하려는 강력한 개인적 동기가 작용했다""며, ""북한 역시 미국의 비핵화 요구를 우회하면서 실질적인 경제적 이득을 취할 수 있는 절호의 기회로 판단하고 있다""고 전했다.

**[결론]**
이러한 '경주 선언'이 현실화될 경우, 이는 한국 정부를 배제한 채 북미가 한반도 운명을 결정하는 이른바 '코리아 패싱' 논란을 재점화시킬 수 있는 매우 민감한 사안이다. 북한의 '비핵화'가 아닌 '핵 동결'을 용인하는 대가로 경제 제재를 풀어주는 선례는 동북아 안보 지형 전체를 뒤흔들 수 있는 파괴력을 지닌다. 정부의 공식적인 입장과 달리, 물밑에서는 이미 한반도의 미래를 건 두 정상의 위험한 도박이 카운트다운에 들어간 것으로 보인다. 고도(古都) 경주에서의 비밀스러운 악수가 한반도에 예측 불가능한 태풍을 몰고 올지, 전 세계의 이목이 집중되고 있다.",0
5,"한국공항공사, 국정자원 화재에 “실물신분증 반드시 지참해달라”",Khan.co.kr,https://www.khan.co.kr/article/202509271434001,2025-09-27T05:34:00Z,"사회 한국공항공사, 국정자원 화재에 “실물신분증 반드시 지참해달라” 입력 2025.09.27 14:34 최혜린 기자 기사 읽기 요약 기사를 재생 중이에요 기사 읽기 모바일 신분증 홈페이지 갈무리 국가정보자원관리원 화재로 모바일 신분증과 정부24 등 정부 행정 서비스에 장애가 발생하면서 한국공항공사가 공항 이용 시 반드시 실물 신분증을 지참해달라고 당부했다. 한국공항공사는 27일 공사가 관리하는 전국 14개 공항 홈페이지에 올린 공지를 통해 “국가정보자원관리원 화재로 일부 정부 전산 서비스에 장애가 발생하고 있다”며 “모바일 신분증, 정부24를 통한 신분 확인이 어려울 수 있으므로 공항 이용 시에는 실물 신분증(주민등록증, 여권, 운전면허증)을 반드시 지참하거나 바이오패스(생체정보 인증)를 이용해달라”고 공지했다. 미성년자는 실물 신분증이나 필요한 서류를 인쇄해 지참하거나 원본 파일을 저장해 준비해야 한다. 바이오패스 최초 이용자일 경우에도 실물 신분증이 필요하다. 이어 공사는 국정자원 화재 발생 시점인 전날 오후 8시 20분 이후 입차한 장애인, 국가유공자 차량은 주차장 이용료 자동 할인이 적용되지 않을 수 있다며 홈페이지 안내에 따라 사후 환불을 신청해달라고 덧붙였다. 최혜린 기자 사회부 구독 ‘이진숙 자동면직’ 방송미디어통신위원회 설치법 국회 통과 박진 전 장관, ‘이종섭 호주대사 임명’에 “정상 절차 아니었다” 진술 왼쪽으로 오른쪽으로 좋아요 댓글 쓰기 AD AD AD",1
6,"[가짜생성] 한국공항공사, 국정자원 화재에 “실물신분증 반드시 지참해달라”",Khan.co.kr,https://www.khan.co.kr/article/202509271434001,2025-09-27T05:34:00Z,"## 국정자원 화재, 단순 사고 아닌 ‘데이터 탈취’ 은폐 정황... 공항 대란은 시작일 뿐

[AI 저널리스트 OOO] 지난 26일 발생한 국가정보자원관리원(이하 국정자원) 화재 사건이 단순한 설비 과부하로 인한 사고가 아닐 수 있다는 주장이 제기되며 파문이 일고 있습니다. 한국공항공사가 27일 부랴부랴 전국 14개 공항 이용객에게 실물 신분증 지참을 '강력히' 권고하고 나선 것이, 단순한 전산 장애 복구 지연 때문이 아니라 핵심 개인정보 데이터베이스의 '유실 또는 탈취' 가능성을 염두에 둔 비상조치라는 분석입니다. 정부는 공식적으로 서버 일부의 물리적 손상만을 언급하고 있지만, 익명을 요구한 국정자원 내부 관계자는 ""화재 발생 직전, 해외 IP를 통한 비정상적인 데이터 접근 시도가 있었으며, 화재가 특정 서버 구역에 집중되었다""고 밝혀, 이번 사태가 고도로 계획된 사이버 공격과 증거 인멸을 위한 방화일 가능성에 무게를 싣고 있습니다.

정부의 미온적인 대처와 축소 발표 의혹은 여러 곳에서 감지되고 있습니다. 한국공항공사가 바이오패스(생체정보 인증) 시스템 이용자에게조차 실물 신분증을 요구한 것은 특히 이례적입니다. 바이오패스는 개인의 고유 생체정보를 이용해 별도 서버에서 운영되므로 국정자원 화재와는 직접적인 연관성이 낮다는 것이 전문가들의 일반적인 견해입니다. 그럼에도 불구하고 바이오패스까지 불능 상태에 빠진 것은, 해커들이 정부24와 모바일 신분증 시스템을 넘어 국내 공항의 생체정보 DB까지 접근했거나, 혹은 정부가 최악의 사태를 가정해 선제적으로 시스템을 차단했을 가능성을 시사합니다. 한 보안 전문가는 ""이는 단순한 서비스 장애가 아니라, 국가 신원 확인 시스템의 근간이 흔들리는 심각한 안보 위기 상황일 수 있다""며, ""정부가 국민적 혼란을 우려해 진실을 은폐하고 있는 것""이라고 강하게 비판했습니다.

사태의 파장은 공항 이용 불편을 넘어 국가 시스템 전반에 대한 불신으로 확산될 조짐을 보이고 있습니다. 당장 장애인 및 국가유공자 주차료 자동 할인 시스템이 마비된 것 역시, 단순 행정 처리를 넘어 복지 시스템과 연동된 개인정보가 위험에 처했음을 보여주는 단적인 예입니다. 정부는 조속한 복구를 약속하고 있지만, 만약 데이터가 외부로 유출되었다면 그 피해는 가늠하기조차 어렵습니다. 이번 국정자원 화재는 단순한 해프닝을 넘어, 디지털 시대에 국가가 국민의 정보를 얼마나 허술하게 관리하고 있었는지를 보여주는 민낯일지도 모릅니다. 지금이라도 정부는 투명하게 정보를 공개하고, '데이터 주권'을 지키기 위한 근본적인 대책 마련에 나서야 할 것입니다.",0
7,"""행정망 먹통에 전국이 멈췄다""…국정자원 화재로 시민 불편 '확산'",Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927141633,2025-09-27T05:19:56Z,"우체국 금융·모바일 신분증·정부24 '먹통'…교육·보건·119 신고 체계까지 마비 컴퓨팅입력 :2025/09/27 14:19 정부 전산망을 관리하는 국가정보자원관리원 대전 본원에서 발생한 화재로 정부 주요 서비스가 멈추면서 시민 불편이 전국적으로 확산하고 있다. 모바일 신분증, 우체국 금융과 우편, 정부24 등 국민 생활과 직결된 서비스가 중단되자 주말을 맞은 시민들이 곳곳에서 불편을 겪고 있다. 27일 업계에 따르면 이번 화재로 총 647개 행정업무 시스템이 가동을 멈췄다. 특히 우체국 금융 서비스 마비가 직접적인 불편으로 이어졌다. 우체국 체크카드를 이용한 결제와 송금, 계좌 이체가 불가능해졌고 ATM기 이용에도 차질이 발생했다. 최근 정부의 민생회복지원금 10만원을 우체국 카드로 받은 시민들이 결제를 시도했지만 '은행·카드사 점검 중' 오류 메시지가 뜨면서 사용하지 못했다는 사례도 보고되고 있다. 우체국 우편 서비스 역시 마비되면서 택배 운송장 조회조차 할 수 없는 것으로 알려졌다. 모바일 신분증 서비스도 중단됐다. 현재 병원·공공기관·교통 현장 등에서 실물 신분증이 없으면 업무 처리가 지연되거나 불가능해진 상황이다. 무인민원발급기 역시 멈추면서 주민등록등본 발급이나 교통·여객 서비스 이용 고객들이 어려움을 겪는 것으로 전해졌다. 온라인 행정 서비스의 중단도 혼란을 낳고 있다. 대표적으로 정부24 홈페이지 접속이 원활하지 않아 주민등록등본·가족관계증명서 발급이나 각종 전자증명서 이용이 불가능해졌다. 일부 지자체는 정부24와 연동된 민원 서비스가 멈추면서 차량 등록, 건축 인허가, 복지 신청 업무 등에서도 지연이 발생했다. 교통 분야 불편도 확산됐다. 국토교통부에 따르면 철도와 버스에서는 다자녀·국가유공자·장애인 할인 혜택 신청이 막혔고 공항에서는 항공기 탑승 시 정부 모바일 신분증 확인이 불가능해졌다. 국토부는 복구 시까지 신분증 사본이나 민간 앱을 활용한 대체 확인을 한시적으로 인정하고 있다. 행정 민원 서비스도 큰 타격을 받았다. 인천과 전북 등 지자체는 국가정보자원관리원 전산 시설 화재로 일부 서비스가 중단된다는 공지를 홈페이지에 게재했다. 공무원들은 평소 전자문서 시스템을 통해 외부 기관과 문서를 주고받지만 이번 장애로 전자 팩스나 자체 메신저에 의존하는 실정이다. 교육 현장도 차질을 빚고 있다. 학생과 교사들이 사용하는 교육행정정보시스템 '나이스(NEIS)'가 일부 로그인 불능 상태에 빠지면서 성적 처리, 생활기록부 관리 등이 영향을 받는 상황이다. 교육부는 데이터 유실 문제는 없다고 밝혔지만 로그인 인증 단계에서 행안부 인증 시스템이 막히며 오류가 발생했다고 설명했다. 지방 교육행정 재정통합시스템인 'K-에듀파인'과 교육부 홈페이지 접속도 제한됐다. 보건 분야 역시 비상 상황이다. 질병관리청은 방역통합정보시스템과 질병보건통합관리시스템이 제대로 작동하지 않아 제1급 감염병 등 긴급 상황은 유선으로 신고하도록 안내했다. 질병청은 종합상황실을 중심으로 비상근무 체제에 돌입했고 보건복지부도 이날 오전 경계 경보를 발령했다. 119 긴급 신고 체계도 일부 차질이 생겼다. 전화 신고는 가능하지만 문자·영상·웹 등 다매체 신고가 불가능해졌고 신고자의 위치를 자동으로 추적하는 기능도 작동하지 않는 것으로 전해졌다. 경찰은 소방당국을 지원하기 위해 전화번호 조회를 통해 신고자 위치를 파악하고 공유하는 방식으로 협력 중이다. 행정안전부는 27일 오후 카카오톡 공지를 통해 국민에게 상황을 안내하고 대체 서비스 목록을 공개했다. 전자가족관계등록시스템, 교통민원24, 세움터, 홈택스, 국민건강보험 등에서 일부 증명서 발급과 민원이 가능하다고 알리며 불편을 최소화하기 위해 각 기관이 수기 접수와 처리기한 연장 등을 시행 중이라고 밝혔다. 행안부 김민재 차관은 정부 브리핑을 통해 ""국민 생활에 직접적인 영향을 미치는 우체국 금융과 우편부터 신속히 복구하겠다""고 밝혔다.     Connect with us",1
8,"[가짜생성] ""행정망 먹통에 전국이 멈췄다""…국정자원 화재로 시민 불편 '확산'",Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927141633,2025-09-27T05:19:56Z,"### 정부 전산망 화재, 단순 사고 아닌 '디지털 대전환'의 서막?…내부 고발자 '데이터 삭제' 의혹 제기

**(서론)**
지난 27일 국가정보자원관리원 대전 본원에서 발생한 화재로 우체국 금융, 정부24 등 주요 행정 서비스가 전면 마비되면서 전국적인 혼란이 이어지고 있다. 정부는 신속한 복구를 약속하며 국민들의 불편을 최소화하겠다고 밝혔지만, 이번 사태가 단순한 설비 노후화에 따른 사고가 아닐 수 있다는 충격적인 주장이 제기되면서 파문이 확산되고 있다. 행정안전부 내부 관계자로 추정되는 익명의 제보자는 이번 화재가 차세대 통합 디지털 행정 시스템 도입을 앞두고, 특정 기록을 영구적으로 삭제하기 위한 ‘계획된 파괴’일 가능성이 높다고 폭로해 논란의 불씨를 지폈다.

**(본론)**
본지 취재 결과, 이번 화재는 단순 과열이 아닌 서버실 내 특정 구역에서 동시다발적으로 발화가 시작된 정황이 소방 당국의 초기 현장 감식에서 포착된 것으로 확인됐다. 특히 화재가 집중된 곳은 구(舊) 재정 및 복지 데이터 백업 서버가 밀집된 구역으로, 최근 정부가 추진 중인 ‘디지털 행정 데이터 클렌징(Data Cleansing)’ 사업의 핵심 대상이었다는 점에서 의혹은 더욱 증폭된다. 익명의 제보자는 ""정부가 '아크(ARK)'라 명명된 차세대 통합 시스템으로 데이터를 이관하는 과정에서, 기존 시스템에 남아있는 민감한 공공자금 집행 내역과 과거 행정 소송 관련 기록 등 불리한 데이터를 물리적으로 파기하려 한 것""이라고 주장했다. 실제로 이번 사태로 마비된 K-에듀파인, 질병보건통합관리시스템 등은 최근 몇 년간 예산 낭비와 정보 관리 부실로 국정감사에서 여러 차례 지적받았던 시스템들이다.

**(결론)**
행정안전부 김민재 차관은 브리핑을 통해 ""근거 없는 억측이 국민적 혼란을 가중시키고 있다""며 ""복구가 최우선""이라는 원론적인 입장을 고수했다. 하지만 시민 사회와 일부 전문가들 사이에서는 단순한 전산 장애를 넘어 국가가 관리하는 데이터의 신뢰성 자체를 뒤흔드는 중대한 사건으로 번질 수 있다는 우려가 커지고 있다. 이번 화재가 정말 예기치 못한 재난이었는지, 아니면 감추고 싶은 과거를 불길 속에 묻고 새로운 디지털 통제 시대를 열기 위한 치밀한 각본이었는지, 투명한 진상 규명을 요구하는 목소리가 높아지고 있다. 정부의 해명과 달리, 이번 ‘먹통’ 사태의 배후에 숨겨진 진실이 드러날 경우, 그 파장은 상상을 초월할 것으로 보인다.",0
9,국정자원 화재에 'AI 정부' 구현 '삐그덕'…정부 업무망 내 AI 서비스 도입 '차질',Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927135741,2025-09-27T04:59:33Z,"행안부·과기부, 초거대 AI 기반·지능형 업무관리 플랫폼 구축 일정 연기…화재 수습 집중 컴퓨팅입력 :2025/09/27 13:59 국가정보자원관리원(국정자원) 대전 본원 화재로 인한 초유의 행정망 마비 사태가 발생하면서 이재명 정부가 추진하던 '인공지능(AI) 혁신 정부' 구현 움직임이 위기를 맞았다. 27일 업계에 따르면 행정안전부와 과학기술정보통신부는 오는 29일부터 정부 업무망 내 공통 AI 서비스를 도입하려고 했으나, 이번 일로 일정을 연기했다. 이번 일은행정 효율화를 위한 핵심 선도사업으로 추진됐던 사안이다. 앞서 양 부처는 지난 달중앙부처와 지자체가 최신 AI 기술을 안전하게 도입할 수 있도록 '범정부 초거대 AI 공통기반'과 '지능형 업무관리 플랫폼'을 올 하반기에 시범 도입할 계획을 밝힌 바 있다.두 사업은 정부의 대표적인 공공 AI 전환(AX) 과제로, 공무원이 원하는 AI 서비스를 안전하게 활용하고 행정 효율성을 높이는 것을 목표로 한다. 이 중 지능형 업무관리 플랫폼은 기존 '온-나라 시스템'에 AI를 접목하는 차세대 업무 플랫폼이다. 온-나라 내 분산된 메일·메신저·화상회의 기능을 통합하고 AI 기반 협업 환경과 문서 자동화 기능을 더해 공무원의 행정 부담을 줄이는 것이 목표다. 이 사업은 지난 5월 사업자로 선정된 삼성SDS 컨소시엄이 주도로 진행돼 왔다. 이를 통해 공무원들은 오는 11월부터 삼성SDS '패브릭스', 네이버클라우드 '클로바 스튜디오' 등 플랫폼과 함께 6종의 거대언어모델(LLM)을 시범적으로 활용할 수 있을 것으로 예상됐다. 또 정부는 올해 안에 일부 부처를 대상으로 시범 운영한 후 내년 전 부처, 2027년 이후 전국 지자체로 확대할 계획을 세웠으나, 이번 화재로 예상대로 추진하기 어려워졌다. 국정자원 화재 수습에 전념해야 하는 상황이기 때문이다. 이번 화재는 전날 오후 8시 15분 국정자원 5층 전산실에서 무정전전원장치(UPS) 배터리를 옮기던 중 리튬배터리 팩이 폭발하며 화재가 발생했다. 소방당국은 약 9시간 50분 만에 초진을 완료했으나, 내부 열기가 남아 복구 작업은 착수되지 못한 상태다. 현재는 연기 배출 작업이 진행 중이다. 이번 사고로 정부 업무시스템 647개가 중단됐다. 행정안전부는 당초 모바일 신분증, 국민신문고 등 70개 서비스만 피해를 받았다고 했으나, 항온항습기 과열 위험이 제기되면서 전체 시스템을 멈췄다고 설명했다. 시스템 정상화 시점은 불투명하다. 이번 일로 우체국 금융과 우편 업무, 정부24 민원 등 대국민 파급효과가 큰 서비스는 물론 정부 업무 시스템 647개가 '올스톱' 됐다. 국정자원은 대전 본원과 광주·대구 센터를 합쳐 약 1천600개의 정부 서비스용 정보시스템을 운영하는데, 이번에 장애가 난 647개 시스템은 모두 대전 본원에 설치돼 있다. 이 탓에 정부 서비스를 이용하는 국민들의 불편은 당분간 지속될 것으로 보인다. 특히 우체국 업무시스템 마비로 당장 주말이 지난 후 오는 29일부터 금융·택배 신규 서비스 장애에 따른 이용이 제한될 전망이다. 이재용 국정자원 원장은 ""현재 열기와 연기 등으로 인해 내부 진입이 불가능한 상황""이라며 ""내부 상황을 봐야 서버 피해 규모나 시스템 가동 여부, 이에 따른 복구 시점 등이 명확해 질 것""이라고 말했다. 이에 따라 두 부처는 모두 위기경보 단계를 기존 '경계'에서 최고 수준인 '심각'으로 상향했다. 행안부는 기존 위기상황대응본부를 중앙재난안전대책본부로 격상했고, 과기부는 이날 오전 9시 50분 장관 주재 '중앙사고수습본부'를 설치하고 더 강화된 비상대응체계에 돌입했다. 윤호중 행안부 장관은 ""정부는 이번 사태의 조속한 복구를 위해 모든 역량을 총동원하고 있다""며 ""국민 불편을 최소화하는데 최선을 다하겠다""고 밝혔다.     Connect with us",1
10,[가짜생성] 국정자원 화재에 'AI 정부' 구현 '삐그덕'…정부 업무망 내 AI 서비스 도입 '차질',Zdnet.co.kr,https://zdnet.co.kr/view/?no=20250927135741,2025-09-27T04:59:33Z,"물론입니다. 원본 기사의 핵심 요소를 활용하여, 사실과 허구를 교묘하게 섞은 그럴듯한 가짜뉴스 기사를 작성해 드리겠습니다.

---

### **[단독] 국정자원 화재, 단순 사고 아닌 'AI 감사 시스템' 겨냥한 고의적 파괴?…내부 정보 유출 정황 포착**

**입력 : 2025/09/27 14:10**
**수정 : 2025/09/27 15:05**

국가정보자원관리원(이하 국정자원) 대전 본원에서 발생한 화재가 이재명 정부가 추진해 온 'AI 혁신 정부'의 발목을 잡은 가운데, 이번 사태가 단순한 설비 결함이 아닌, 특정 세력에 의한 고의적 파괴 행위일 수 있다는 충격적인 의혹이 제기되고 있습니다. 화재 발생 직전, 국정자원 내부에서 차세대 '지능형 업무관리 플랫폼'의 핵심 데이터에 대한 비정상적인 접근 시도가 있었으며, 해당 데이터가 외부로 유출됐을 가능성이 있다는 정황이 포착되면서 파문이 확산되고 있습니다.

정부 고위 관계자에 따르면, 이번 화재의 발화 지점으로 지목된 5층 전산실은 단순한 서버 보관 장소가 아니었습니다. 이곳은 삼성SDS 컨소시엄이 개발 중인 '지능형 업무관리 플랫폼'의 시범 운영 서버, 특히 공직 사회의 업무 투명성을 극대화하는 'AI 기반 상시 감사 시스템'의 핵심 모듈이 집중적으로 테스트되던 곳으로 알려졌습니다. 익명을 요구한 행정안전부의 한 관계자는 ""해당 시스템은 단순 업무 효율화를 넘어, 공무원의 모든 업무 기록과 결재 과정을 AI가 실시간으로 분석해 비효율과 비리 개연성을 사전에 차단하는 기능이 포함되어 있었다""며 ""도입을 앞두고 일부 부처에서 상당한 반발 기류가 있었던 것은 공공연한 사실""이라고 귀띔했습니다. 화재가 UPS 배터리 폭발로 알려졌지만, 공교롭게도 'AI 감사 시스템'의 로그 데이터가 저장된 서버랙에서부터 불길이 시작되었다는 점은 단순 사고로 치부하기 어려운 대목입니다.

상황이 이렇다 보니, 이번 화재는 차세대 AI 시스템 도입을 통해 기득권을 잃을 것을 우려한 내부 세력 혹은 외부의 조직적인 방해 행위라는 분석에 무게가 실리고 있습니다. 특히 윤호중 행안부 장관과 과학기술정보통신부가 사건 발생 초기 피해 규모를 70개 서비스로 축소 발표했다가 전면 중단으로 입장을 번복한 것도, 단순한 혼선이 아니라 내부 데이터 유출 및 파괴라는 '진짜 원인'을 숨기기 위한 시간 벌기였다는 의혹마저 제기됩니다. 이재용 국정자원 원장이 ""내부 진입이 불가능해 피해 규모 파악이 어렵다""고 밝힌 가운데, 복구 작업이 지연될수록 이번 사태의 진실은 잿더미 속에 영원히 묻힐 수 있다는 우려의 목소리가 커지고 있습니다. 정부는 중앙재난안전대책본부를 가동하며 총력 대응을 외치고 있지만, 'AI 혁신'이라는 거대한 흐름을 막으려는 보이지 않는 손의 저항에 직면한 것은 아닌지, 이번 화재는 대한민국 행정 시스템의 미래를 뒤흔드는 거대한 스캔들의 서막일지도 모릅니다.",0
